Question,article_id,title,subtitle,url,published_time,top_stance,stance_prob_support,stance_prob_oppose,stance_prob_neutral,label_type,label_class
1,9779242,Sverige protesterer over dansk kæmpe-plan,I et brev udtrykker de svenske myndigheder bekymring over vandgennemstrømningen i Øresund,https://ekstrabladet.dk/nyheder/politik/danskpolitik/sverige-protesterer-over-dansk-kaempe-plan/9779242,24/05/2023 13:06,Oppose,0.000397495,0.999230444,0.000372119,stance,Oppose
2,4019226,'Tanning-mom' er blevet bleg,Se In Touch Magasines billede af den utrolige forvandling,https://ekstrabladet.dk/underholdning/udlandkendte/article4019226.ece,03/08/2012 15:03,Neutral,0.047263604,0.115234159,0.837502182,stance,Neutral
3,8130727,Anklager rejseselskab for tyveri,"Sunweb har 125.000 danske rejsende pr år, men fordi selskabet også er registreret i Holland, er der ingen penge - kun tilgodebeviser - til mange af kunderne",https://ekstrabladet.dk/nationen/anklager-rejseselskab-for-tyveri/8130727,24/05/2020 19:00,Oppose,0.000427152,0.999241173,0.000331699,stance,Oppose
4,3987963,Knuget Medina tavs dagen derpå,"Popdronningen ville ikke tale om episoden, hvor hun gik amok på en journalist",https://ekstrabladet.dk/underholdning/dkkendte/article3987963.ece,15/03/2013 12:27,Neutral,0.149310216,0.159639016,0.691050708,stance,Neutral
5,9690131,Sendte kæmpe hyldest til kæresten: - Jeg fik et par kys,"Rasmus Højlund var dagens mand i skysovs med sit hattrick i kampen mod Finland, og den danske skarpretter havde da også opbakning på lægterne, hvor hans kæreste blandt andet gav ham stor support",https://ekstrabladet.dk/sport/fodbold/landsholdsfodbold/sendte-kaempe-hyldest-til-kaeresten-jeg-fik-et-par-kys/9690131,23/03/2023 22:42,Support,0.998714089,0.000610249,0.000675725,stance,Support
6,9784334,Djokovic hylder Holger: - En af lederne,Novak Djokovic har rosende ord til Holger Rune forud for French Open,https://ekstrabladet.dk/sport/anden_sport/tennis/djokovic-hylder-holger-en-af-lederne/9784334,28/05/2023 8:37,Support,0.998456895,0.000691894,0.000851196,stance,Support
7,9762530,Wagner-chef retter en kraftig kritik mod Ruslands militære ledelse,"Soldater flygter, og Rusland har kurs mod en global tragedie, lyder det i den seneste tirade fra Prigozjin",https://ekstrabladet.dk/nyheder/wagner-chef-retter-en-kraftig-kritik-mod-ruslands-militaere-ledelse/9762530,12/05/2023 16:30,Oppose,0.000336386,0.999340236,0.000323351,stance,Oppose
8,9736745,Nyt festfænomen møder kritik,"Et nyt 'festfænomen' har mødt kritik og bekymring. Ifølge Natteravnene smides unge ud og overlades til sig selv, hvis de bliver for berusede. Arrangørerne genkender ikke det billede",https://ekstrabladet.dk/nyheder/samfund/nyt-festfaenomen-moeder-kritik/9736745,26/04/2023 19:12,Oppose,0.000396721,0.999206007,0.000397206,stance,Oppose
9,9660088,Nyt om danske forbrugerpriser,"Et notat fra en styrelse viser, at på årsbasis skiller udviklingen i forbrugerpriser i Danmark sig ikke ud",https://ekstrabladet.dk/nyheder/samfund/nyt-om-danske-forbrugerpriser/9660088,03/03/2023 15:09,Neutral,0.143384904,0.155872464,0.700742602,stance,Neutral
10,7331905,Kim Larsens stamværtshus er stuvende fyldt: - Vi er her for at ære ham,"Siden Lørups Vinstue slog dørene op på Kim Larsens sidste dag, er fans strømmet til for at mindes ham",https://ekstrabladet.dk/underholdning/dkkendte/kim-larsens-stamvaertshus-er-stuvende-fyldt-vi-er-her-for-at-aere-ham/7331905,30/09/2018 21:43,Support,0.99845612,0.000829437,0.000714468,stance,Support
11,9732153,Prins William lykønsker walisisk Hollywood-klub med oprykning,"William, prins af Wales, deler Hollywood-ejede Wrexhams begejstring over at rykke op efter 15 års ventetid",https://ekstrabladet.dk/underholdning/prins-william-lykoensker-walisisk-hollywood-klub-med-oprykning/9732153,23/04/2023 4:15,Support,0.998456478,0.000490423,0.001053141,stance,Support
12,9706174,Efter stormvejr: Lægger sig fladt ned,Internetstjernen KSI er havnet i stormvejr efter en video på YouTube. Nu undskylder han og tager en pause fra de sociale medier,https://ekstrabladet.dk/underholdning/udlandkendte/efter-stormvejr-laegger-sig-fladt-ned/9706174,04/04/2023 5:05,Neutral,0.11753653,0.142764285,0.739699125,stance,Neutral
13,9522337,"Hædrer familie, ansatte og venner: Daisys dyre medaljer","Dronningen kaster om sig med medaljer til sin egen familie, sine ansatte og andre særligt udvalgte i inderkredsen",https://ekstrabladet.dk/underholdning/kongelige/danskekongelige/haedrer-familie-ansatte-og-venner-daisys-dyre-medaljer/9522337,27/01/2023 17:13,Support,0.998718321,0.000529697,0.000752039,stance,Support
14,9584593,#NAME?,"Når det kommer til spørgsmålet om de danske børn i syriske fangelejre, har regeringen ingen position - endnu, siger udenrigsminister Lars Løkke Rasmussen (M)",https://ekstrabladet.dk/nyheder/politik/danskpolitik/article9584593.ece,11/01/2023 13:13,Neutral,0.008550498,0.177703202,0.813746274,stance,Neutral
15,8915504,Lössl bænket: - Ingen kommentarer,"FC Midtjyllands vragede stjernekeeper Jonas Lössl havde ikke meget at sige, da målmanden blev spurgt ind til, at han igen sidder på bænken",https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/lossl-baenket-ingen-kommentarer/8915504,17/10/2021 11:39,Neutral,0.017329959,0.081893146,0.900776923,stance,Neutral
16,9787441,Kritik til lægehus efter otteårig piges død,"Styrelsen for Patientklager kritiserer lægehus i Vojens for behandlingen af en otteårig syrisk pige, der døde af et hjertestop som følge af mangelfuld astmabehandling i august sidste år",https://ekstrabladet.dk/nyheder/samfund/kritik-til-laegehus-efter-otteaarig-piges-doed/9787441,30/05/2023 4:47,Oppose,0.000378552,0.999376535,0.000244935,stance,Oppose
17,9629178,#NAME?,"Der var stor opbakning til borgerforslag om nyt efterforskningsværktøj til politiet, der tidligere har fældet serieforbrydere, da det blev diskuteret i Folketinget",https://ekstrabladet.dk/krimi/taenk-hvis-vi-kunne-opklare-emilie-meng-sagen/9629178,09/02/2023 15:03,Support,0.998752713,0.000681697,0.000565591,stance,Support
18,9723554,13-årig forsvundet og fundet: Bonusfar taler til pressen,"Den 13-årige pige, der blev kidnappets bonusfar, Allan Nielsen, kom med et stort tak til politiet og den danske befolkning",https://ekstrabladet.dk/krimi/article9723554.ece,17/04/2023 11:39,Support,0.998460293,0.000992929,0.000546794,stance,Support
19,9757174,Forstander kritiserer mediers 'nyhedsjagt' efter bortførelse,Nu deler forstanderen på Sorø Gymnastikefterskole sine tanker og refleksioner efter et knivoverfald i november og bortførelsen af 13-årig pige for godt to uger siden,https://ekstrabladet.dk/nyheder/samfund/forstander-kritiserer-mediers-nyhedsjagt-efter-bortfoerelse/9757174,10/05/2023 4:52,Oppose,0.000414019,0.999248028,0.000337923,stance,Oppose
20,9145023,Helmig og hustruen overrasker: Hjælper brudepar på vej,"Folk i Aarhus Kommune kan vælge at blive gift til ord forfattet af popikonet Thomas Helmig og hans hustru, Renée Toft Simonsen, i et nyt vielsesritual",https://ekstrabladet.dk/underholdning/dkkendte/helmig-og-hustruen-overrasker-hjaelper-brudepar-paa-vej/9145023,24/02/2022 14:38,Support,0.998802841,0.00060454,0.00059255,stance,Support
21,6779873,Kendis-kok raser mod sit livsværk: Jeg er fyret og bortvist!,Ifølge den tidligere vinder af Masterchef Umut Ra Sakarya er han blevet bortvist og fyret fra den populære restaurant 'Grisen' i København,https://ekstrabladet.dk/nyheder/samfund/kendis-kok-raser-mod-sit-livsvaerk-jeg-er-fyret-og-bortvist/6779873,15/08/2017 16:35,Oppose,0.000411135,0.999307334,0.000281488,stance,Oppose
22,7086478,I seng med over 4000,#NAME?,https://ekstrabladet.dk/underholdning/i-seng-med-over-4000/7086478,18/04/2018 11:53,Oppose,0.000431641,0.999283254,0.000285085,stance,Oppose
23,9690915,Ingen kritik for artikel om Hugo Helmigs død,Mediet Frihedens Stemme får ikke kritik for at bringe nyheden om Hugo Helmigs død uden forældrenes tilladelse,https://ekstrabladet.dk/underholdning/dkkendte/ingen-kritik-for-artikel-om-hugo-helmigs-doed/9690915,24/03/2023 10:52,Neutral,0.166399255,0.023328548,0.810272217,stance,Neutral
24,8243211,Rasende fiskere: Brevet slukkede drømmen,"Fiskekuttere i Kattegat skal have opsat kameraer, så Fiskeristyrelsen kan overvåge fangsten. Flere fiskere nægter og sætter bådene til salg",https://ekstrabladet.dk/nyheder/samfund/rasende-fiskere-brevet-slukkede-droemmen/8243211,15/08/2020 15:34,Oppose,0.000445137,0.999265254,0.000289596,stance,Oppose
25,9772660,Rusland: Greenpeace er 'uønsket',Miljøorganisationen Greenpeace truer ifølge russisk statsanklager orden og sikkerhed i Rusland,https://ekstrabladet.dk/nyheder/rusland-greenpeace-er-uoensket/9772660,19/05/2023 13:20,Oppose,0.000367034,0.999199033,0.000433925,stance,Oppose
26,8043538,Glæde over tvillinger i Bestsellers hjemby,Tøjgigantens bagland sender varme tanker til Holch-Poulsen familien efter fødslen af to tvillingedøtre mindre end et år efter tragedien på Sri Lanka,https://ekstrabladet.dk/nyheder/samfund/glaede-over-tvillinger-i-bestsellers-hjemby/8043538,12/03/2020 17:29,Support,0.998638809,0.000493505,0.000867693,stance,Support
27,9449699,Ligeglade: Fråser med gassen,"Der er kæmpe energikrise, men det er tyskerne tilsyneladende ligeglade med. Deres gasforbrug er steget med over 14 procent",https://ekstrabladet.dk/nationen/ligeglade-fraaser-med-gassen/9449699,30/09/2022 11:13,Neutral,0.016380772,0.081545502,0.902073681,stance,Neutral
28,4386247,Så længe kan din mad holde sig,"'Mindst holdbar til'- mærket er kun en vejledning. Se her, hvor længe fødevarerne i virkeligheden kan overleve",https://ekstrabladet.dk/forbrug/forbrug/article4386247.ece,09/05/2006 6:16,Neutral,0.04479469,0.088746972,0.866458297,stance,Neutral
29,9699742,Hitmager er død af kræft,"Procol Harums tekstforfatter, Keith Reid, som var med til at skrive 'A Whiter Shade of Pale', blev 76 år",https://ekstrabladet.dk/musik/intlmusiknyt/hitmager-er-doed-af-kraeft/9699742,30/03/2023 9:45,Neutral,0.046688218,0.08374057,0.869571209,stance,Neutral
30,8919778,Lotte Friis taknemmelig for opbakning,"Lotte Friis fortæller på sin Instagram, at hun er taknemmelig for den støtte, hun har mødt ovenpå offentliggørelsen af et kapitel fra Jeanette Ottesens nye bog",https://ekstrabladet.dk/sport/anden_sport/svoemning/lotte-friis-taknemmelig-for-opbakning/8919778,20/10/2021 12:00,Support,0.998455584,0.000589526,0.000954883,stance,Support
